prompt,completion
"Explain hawala transaction indicators in financial intelligence.","Hawala indicators include structured cash deposits under Rs 50000, multi-layered wire transfers without underlying commercial invoices, rapid movement of funds through shell accounts, and international wire transfers to high-risk secrecy jurisdictions."
"How to identify shell company bank accounts?","Shell company indicators: 1) Registered address at shared corporate secretarial suites, 2) No employee payroll expenses, 3) High volume pass-through transactions with immediate zero balance, 4) Common directors across multiple unrelated entities."
"What is smurfing in money laundering?","Smurfing is breaking large sums of illicit cash into small transactions below mandatory bank reporting thresholds (such as Rs 50,000 CTR limit in India) to evade detection."
"What is Trade-Based Money Laundering (TBML)?","TBML misrepresents the price, quantity, or quality of imports/exports on commercial invoices (over-invoicing or under-invoicing) to transfer illicit value across borders."
"How to trace stolen cryptocurrency assets?","Cryptocurrency tracing uses blockchain analysis tools to track UTXO movements, identify mixer/tumbler addresses, map wallet cluster ownership, and request exchange KYC details."
"What is a Currency Transaction Report (CTR)?","A CTR is a mandatory regulatory filing submitted by financial institutions to Financial Intelligence Unit India (FIU-IND) for all cash transactions exceeding Rs 10 Lakhs in a month."
"What is a Suspicious Transaction Report (STR)?","An STR is filed by reporting entities to FIU-IND when a transaction gives rise to reasonable suspicion of being linked to proceeds of crime or terrorism financing, regardless of amount."
"What is layered transaction analysis in financial investigation?","Layering involves creating complex series of financial maneuvers (wires, shell company transfers, asset purchases) to distance illicit funds from their illegal origin."
"What is integration phase in money laundering?","Integration is the final stage where laundered money enters the legitimate economy through real estate purchases, luxury assets, or legitimate business investments."
"How to verify beneficial ownership of a corporate entity?","Verify beneficial ownership by inspecting MCA Registrar of Companies filings, shareholder registries, ultimate controlling shareholding (25%+), and bank authorized signatory resolution."
