prompt,completion
"What is an FIR in Indian criminal law?","An First Information Report (FIR) is a written document prepared by police organizations when they receive information about the commission of a cognizable offence."
"Who can file an FIR?","Any person can file an FIR including the victim, a witness to the incident, or anyone who has knowledge of the cognizable offence."
"What is a cognizable offence?","A cognizable offence is one in which a police officer may arrest the accused without a warrant and initiate an investigation without order of a magistrate under Section 154 CrPC."
"Can an FIR be registered online in India?","Yes, many Indian state police departments provide e-FIR facilities for non-violent crimes such as theft, lost property, and cyber fraud."
"What happens after an FIR is registered?","After registration, the police investigate the case by collecting evidence, interviewing witnesses, conducting forensic analysis, and filing a chargesheet or final report."
"What is a Zero FIR?","A Zero FIR can be filed at any police station regardless of jurisdiction where the incident occurred. It is later transferred to the appropriate police station."
"What is a Chargesheet?","A chargesheet is a formal police report submitted to the magistrate containing all evidence and accused details after investigation under Section 173 CrPC."
"Difference between FIR and NCR?","An FIR is for cognizable offences where police can arrest without warrant. An NCR (Non-Cognizable Report) is for minor offences requiring magistrate approval to investigate."
"What is Section 420 IPC?","Section 420 of the Indian Penal Code deals with cheating and dishonestly inducing delivery of property, punishable with imprisonment up to 7 years."
"What is Section 302 IPC?","Section 302 IPC prescribes punishment for murder, which can be death penalty or life imprisonment along with a fine."
"What is cyber fraud under IT Act?","Cyber fraud includes identity theft, online banking scams, phishing, and ransomware attacks penalized under Sections 66C and 66D of the IT Act 2000."
"How is digital evidence preserved in crime investigation?","Digital evidence is preserved by securing devices in Faraday bags, extracting bit-stream disk images, and calculating SHA-256 hash values for court admissibility."
"What is a Panchnama in criminal investigation?","A Panchnama is a record of crime scene observation and evidence seizure witnessed and signed by independent panchas."
"What is section 65B certificate?","A Section 65B Evidence Act certificate is a mandatory electronic evidence certificate verifying the authenticity of computer-generated records."
"What is the role of an IO in a case?","The Investigating Officer (IO) conducts crime scene examination, collects physical/digital evidence, records witness statements, and files judicial reports."
"How to trace suspicious bank accounts in financial fraud?","Financial fraud tracing involves analyzing bank statement transaction logs, beneficiary IP addresses, UPI handle logs, and shell company registries."
"What is money laundering under PMLA?","Money laundering under the Prevention of Money Laundering Act (PMLA) 2002 is the process of converting proceeds of crime into untainted legal assets."
"What is a Look Out Circular (LOC)?","An LOC is a notice issued by law enforcement to border control and immigration authorities to prevent a suspect or accused from fleeing the country."
"What is a Remand Application?","A remand application is submitted by police to a magistrate requesting custody of an accused for further interrogation beyond 24 hours under Section 167 CrPC."
"What is Anticipatory Bail?","Anticipatory bail under Section 438 CrPC is a direction granting bail to a person apprehending arrest for a non-bailable offence."
"What is regular bail under Section 437 and 439 CrPC?","Regular bail is granted by a court to an accused person already in judicial or police custody pending trial."
"What is a Summary Report?","A summary report or final report is filed when no evidence is found against the accused or the case is deemed un-traced/false."
"What is a Supplementary Chargesheet?","A supplementary chargesheet is filed when new evidence or additional accused persons are discovered after the initial chargesheet was submitted."
"What is forensic DNA profiling?","Forensic DNA profiling compares short tandem repeat (STR) markers from biological samples found at a crime scene to suspect references."
"What is CDR analysis?","Call Detail Record (CDR) analysis examines caller/receiver numbers, call duration, timestamp, and cell tower locational data."
"What is IPDR analysis?","Internet Protocol Detail Record (IPDR) analysis maps user IP addresses, session duration, port numbers, and protocol usage to trace online activity."
"What is a search warrant?","A search warrant issued by a magistrate under Section 93 CrPC authorizes police to enter and search a specific location for evidence."
"What is Section 377 IPC?","Section 377 IPC deals with unnatural offences, partially struck down by the Supreme Court in 2018 regarding consensual adult acts."
"What is Narcotic Drugs and Psychotropic Substances Act (NDPS)?","The NDPS Act 1985 provides stringent laws for drug trafficking, possession, manufacture, and distribution of illicit substances."
"What is the role of a public prosecutor?","A public prosecutor represents the State in criminal trials, presenting evidence and examining witnesses to prove guilt beyond reasonable doubt."
"What is cross-examination of a witness?","Cross-examination is the questioning of a witness by the opposing counsel to test their credibility, accuracy, and truthfulness under Section 138 Evidence Act."
"What is dying declaration under Section 32 Evidence Act?","A dying declaration is a statement made by a deceased person regarding the cause of their death, admissible as primary evidence."
"What is chain of custody for evidence?","Chain of custody is the chronological documentation tracking seizure, transfer, analysis, and court submission of evidence to prevent tampering."
"What is a Test Identification Parade (TIP)?","TIP is a procedure where a witness identifies an accused person among similar individuals under magistrate supervision."
"What is a Hostile Witness?","A hostile witness is one who recants or testifies against the party that called them, allowing the prosecution to cross-examine them."
"What is the National Cyber Crime Reporting Portal?","The National Cyber Crime Reporting Portal (cybercrime.gov.in) enables citizens to report financial frauds, cybercrimes against women/children online."
"What is a Summary Trial?","A summary trial is a speedy trial mechanism for minor offences punishable with imprisonment not exceeding 3 months."
"What is a Habeas Corpus petition?","A Habeas Corpus writ petition orders authorities to produce a detained person before the court to check the legality of arrest."
"What is Section 304B IPC?","Section 304B IPC penalizes dowry death where a woman dies of unnatural causes within 7 years of marriage accompanied by dowry harassment."
"What is a Narco Analysis test?","Narco analysis involves administering sodium pentothal to induce a hypnotic state during questioning, subject to judicial consent constraints."
"What is Polygraph Test?","A polygraph or lie detector test measures physiological indicators (pulse, blood pressure, respiration) during structured questioning."
"What is an Abatement of Proceedings?","Abatement occurs when criminal proceedings terminate due to the death of the sole accused person."
"What is compounding of offences?","Compounding under Section 320 CrPC allows victim and accused to reach a legal compromise for specific minor offences."
"What is a Warrant Case?","A warrant case relates to an offence punishable with death, life imprisonment, or imprisonment exceeding two years."
"What is a Summons Case?","A summons case relates to an offence not being a warrant case, typically punishable with imprisonment up to 2 years."
"What is Section 50 of NDPS Act?","Section 50 NDPS requires police to inform a suspect of their right to be searched in the presence of a gazetted officer or magistrate."
